Namespace(full_exp=True, data='cifar10', i_i_d=False, wandb=True, method_choosing_users='all users', model='cnn3', num_users=300, num_users_per_round=15, global_epochs=600, max_seconds=300.0, epsilon_bar=10.0, epsilon_sum_deascent_coeff=0.04, delta_f=0.004, alpha=10.0, beta=2.0, gamma=20.0, alternative_privacy_reward=False, mixed_precision=True, shared_res_constraint=True, clusters_partition_level=15, resources_cluster_num=20, rho=0.01, shared_res_constraint_verbose=True, latency_penalty_coeff=0.01, choosing_users_verbose=True, sa_pause_verbose=True, snr_verbose=False, dirichlet_coeff=2.0, label_dominance=0.25, bar_plot_interval=30, save_data_global_epochs=None, sa_pause_accelerated=False, ucb_neighbors_only=True, max_iterations_sa_pause=100, sa_pause_simulation=False, max_time_sa_pause=600.0, pre_sa_pause_rounds=1, beta_max_reduction=1.0, accel_ucb_coeff=1.0, add_tiny_noise=True, higher_threshold=False, max_neighbors=None, sa_informed_sampling=True, sampling_temp=0.0001, data_truncation=None, num_classes_subset=None, tau_min=0.05, production=False, privacy_noise='laplace', privacy=False, save_best_model=False, seed=3.0, norm_mean=0.5, norm_std=0.5, train_batch_size=20, test_batch_size=1000, local_epochs=1, local_iterations=100, lr=0.01, momentum=0.5, lr_scheduler=False, optimizer='adam', device=device(type='cuda'), exp_path=PosixPath('/home/oripele/PAUSE/checkpoints/all users/cnn3/27-08-2025_16-03-11'), fraboni_distributions=array([[0.        , 0.        , 0.        , ..., 0.        , 0.        ,
        0.        ],
       [0.        , 0.        , 0.        , ..., 0.        , 0.        ,
        0.        ],
       [0.12612816, 0.        , 0.        , ..., 0.        , 0.        ,
        0.        ],
       ...,
       [0.        , 0.        , 0.03022142, ..., 0.        , 0.        ,
        0.        ],
       [0.        , 0.        , 0.        , ..., 0.        , 0.        ,
        0.        ],
       [0.        , 0.        , 0.        , ..., 0.01387718, 0.        ,
        0.01511071]], shape=(15, 300)))
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN3LayerCifar                           --
├─Conv2d: 1-1                            896
├─BatchNorm2d: 1-2                       64
├─Conv2d: 1-3                            18,496
├─BatchNorm2d: 1-4                       128
├─Conv2d: 1-5                            73,856
├─BatchNorm2d: 1-6                       256
├─MaxPool2d: 1-7                         --
├─Linear: 1-8                            65,664
├─BatchNorm1d: 1-9                       256
├─Linear: 1-10                           8,256
├─BatchNorm1d: 1-11                      128
├─Linear: 1-12                           2,080
├─BatchNorm1d: 1-13                      64
├─Linear: 1-14                           330
├─Dropout: 1-15                          --
├─Dropout: 1-16                          --
├─Dropout: 1-17                          --
=================================================================
Total params: 170,474
Trainable params: 170,474
Non-trainable params: 0
=================================================================
Using mixed precision training (AMP)
iteration: 1
user 0, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.015908313623715715, curr_delay = 0.05, data_size = 409
user 1, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0030812187959683955, curr_delay = 0.05, data_size = 180
user 2, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0009133341147061872, curr_delay = 0.05, data_size = 98
user 3, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0008764355686310102, curr_delay = 0.05, data_size = 96
user 4, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.001392349518264607, curr_delay = 0.05, data_size = 121
user 5, emp_avg: 0.45214808925194744, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0006870927716318413, curr_delay = 0.11058323851975595, data_size = 85
user 6, emp_avg: 0.4871817284729551, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0055234650891555674, curr_delay = 0.10263110678785575, data_size = 241
user 7, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.014913098972487032, curr_delay = 0.05, data_size = 396
user 8, emp_avg: 0.5554706295964928, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0006551393915255023, curr_delay = 0.09001376010883096, data_size = 83
user 9, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0002283335286765468, curr_delay = 0.05, data_size = 49
user 10, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0002283335286765468, curr_delay = 0.05, data_size = 49
user 11, emp_avg: 0.5146454653858563, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.001129875324533966, curr_delay = 0.09715426125927762, data_size = 109
user 12, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0002283335286765468, curr_delay = 0.05, data_size = 49
user 13, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0004793958009406383, curr_delay = 0.05, data_size = 71
user 14, emp_avg: 0.7813875512643199, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0003538646648085926, curr_delay = 0.0639887337840202, data_size = 61
user 15, emp_avg: 0.7821015678761439, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0011092387665486223, curr_delay = 0.06393031551615322, data_size = 108
user 16, emp_avg: 1.0, h: 0, ucb: inf,num_of_obs: 0, privacy reward: 0.9607894391523232, g: 0.0002283335286765468, curr_delay = 0.05, data_size = 49
